"NEUTRAL"	"INFECTED"	"VACCINATED"	"CURED"	"BEACONON"	"BEACONOFF"	"ENDORSER"	"DENIER"	
99.70	0.20	0.00	0.00	0.00	0.10	0.20	0.00	
97.20	2.70	0.00	0.00	0.10	0.00	2.70	0.10	
93.71	5.69	0.30	0.20	0.10	0.00	5.89	0.40	
92.11	5.09	0.30	2.40	0.10	0.00	7.49	0.40	
91.01	5.00	0.50	3.40	0.10	0.00	8.39	0.60	
90.21	3.10	0.50	6.09	0.10	0.00	9.19	0.60	
90.11	1.30	0.60	7.89	0.10	0.00	9.19	0.70	
90.11	0.40	0.60	8.79	0.10	0.00	9.19	0.70	
90.11	0.00	0.60	9.19	0.10	0.00	9.19	0.70	
90.11	0.00	0.60	9.19	0.10	0.00	9.19	0.70	
